Starting WeensyOS
VA 0xff000 maps to PA 0xff000 with PERMS 0x1, 0x2, 0x4
VA 0x100000 maps to PA 0x100000 with PERMS 0x1, 0x2, 0x4
VA 0x101000 maps to PA 0x101000 with PERMS 0x1, 0x2, 0x4
VA 0x102000 maps to PA 0x102000 with PERMS 0x1, 0x2, 0x4
VA 0x103000 maps to PA 0x103000 with PERMS 0x1, 0x2, 0x4
VA 0x104000 maps to PA 0x104000 with PERMS 0x1, 0x2, 0x4
VA 0x105000 maps to PA 0x105000 with PERMS 0x1, 0x2, 0x4
VA 0x106000 maps to PA 0x106000 with PERMS 0x1, 0x2, 0x4
VA 0x107000 maps to PA 0x107000 with PERMS 0x1, 0x2, 0x4
VA 0x108000 maps to PA 0x108000 with PERMS 0x1, 0x2, 0x4
VA 0x109000 maps to PA 0x109000 with PERMS 0x1, 0x2, 0x4
VA 0x10a000 maps to PA 0x10a000 with PERMS 0x1, 0x2, 0x4
VA 0x10b000 maps to PA 0x10b000 with PERMS 0x1, 0x2, 0x4
VA 0x10c000 maps to PA 0x10c000 with PERMS 0x1, 0x2, 0x4
VA 0x10d000 maps to PA 0x10d000 with PERMS 0x1, 0x2, 0x4
VA 0x10e000 maps to PA 0x10e000 with PERMS 0x1, 0x2, 0x4
VA 0x10f000 maps to PA 0x10f000 with PERMS 0x1, 0x2, 0x4
VA 0x110000 maps to PA 0x110000 with PERMS 0x1, 0x2, 0x4
VA 0x111000 maps to PA 0x111000 with PERMS 0x1, 0x2, 0x4
VA 0x112000 maps to PA 0x112000 with PERMS 0x1, 0x2, 0x4
VA 0x113000 maps to PA 0x113000 with PERMS 0x1, 0x2, 0x4
VA 0x114000 maps to PA 0x114000 with PERMS 0x1, 0x2, 0x4
VA 0x115000 maps to PA 0x115000 with PERMS 0x1, 0x2, 0x4
VA 0x116000 maps to PA 0x116000 with PERMS 0x1, 0x2, 0x4
VA 0x117000 maps to PA 0x117000 with PERMS 0x1, 0x2, 0x4
VA 0x118000 maps to PA 0x118000 with PERMS 0x1, 0x2, 0x4
VA 0x119000 maps to PA 0x119000 with PERMS 0x1, 0x2, 0x4
VA 0x11a000 maps to PA 0x11a000 with PERMS 0x1, 0x2, 0x4
VA 0x11b000 maps to PA 0x11b000 with PERMS 0x1, 0x2, 0x4
VA 0x11c000 maps to PA 0x11c000 with PERMS 0x1, 0x2, 0x4
VA 0x11d000 maps to PA 0x11d000 with PERMS 0x1, 0x2, 0x4
VA 0x11e000 maps to PA 0x11e000 with PERMS 0x1, 0x2, 0x4
VA 0x11f000 maps to PA 0x11f000 with PERMS 0x1, 0x2, 0x4
VA 0x120000 maps to PA 0x120000 with PERMS 0x1, 0x2, 0x4
VA 0x121000 maps to PA 0x121000 with PERMS 0x1, 0x2, 0x4
VA 0x122000 maps to PA 0x122000 with PERMS 0x1, 0x2, 0x4
VA 0x123000 maps to PA 0x123000 with PERMS 0x1, 0x2, 0x4
VA 0x124000 maps to PA 0x124000 with PERMS 0x1, 0x2, 0x4
VA 0x125000 maps to PA 0x125000 with PERMS 0x1, 0x2, 0x4
